info: Download starting. {"0":{"rss":59703296,"heapTotal":34959360,"heapUsed":32194120,"external":2038424},"1":[0,64827479],"timestamp":"2020-07-29T11:06:08.834Z"}
info: Response rejected. {"0":"https://secure.minorhotels.com/MyPrivilege.aspx?language=en&bc=OH","1":200,"2":"text/html; charset=utf-8","3":{"rss":71913472,"heapTotal":47693824,"heapUsed":37399944,"external":1727344},"4":[15,245964787],"timestamp":"2020-07-29T11:06:24.014Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/assets/surestay-compendiums/oaks-castlereagh-compendium-digi.pdf?la=en","1":200,"2":"application/pdf","3":{"rss":78360576,"heapTotal":49020928,"heapUsed":38072616,"external":2337997},"4":[19,401769120],"timestamp":"2020-07-29T11:06:28.169Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/documents/hotels/new-south-wales/oaks-on-castlereagh-sydney-central/guest-service/cst3262-castlereagh-room-compendium-lr.pdf?la=en","1":200,"2":"application/pdf","3":{"rss":80785408,"heapTotal":50364416,"heapUsed":40894704,"external":3441126},"4":[19,664025047],"timestamp":"2020-07-29T11:06:28.432Z"}
info: Response accepted. {"0":"https://www.oakshotels.com/uploads/minor/oaks/documents/hotels/new-south-wales/oaks-on-castlereagh-sydney-central/fact-sheet/castlereagh-fact-sheet-2019.pdf","1":200,"2":"application/pdf","3":{"rss":81596416,"heapTotal":50798592,"heapUsed":39558760,"external":1804804},"4":[19,784333407],"timestamp":"2020-07-29T11:06:28.552Z"}
info: Response rejected. {"0":"https://t.co/dw27M4bf0D","1":200,"2":"text/html; charset=utf-8","3":{"rss":81596416,"heapTotal":50798592,"heapUsed":40187256,"external":1840173},"4":[19,868928215],"timestamp":"2020-07-29T11:06:28.637Z"}
info: Response rejected. {"0":"https://www.nh-hotels.com/","1":200,"2":"text/html;charset=UTF-8","3":{"rss":81596416,"heapTotal":50974720,"heapUsed":39609760,"external":1797479},"4":[19,983688903],"timestamp":"2020-07-29T11:06:28.751Z"}
info: Response rejected. {"0":"https://twitter.com/Oaks_Hotels","1":200,"2":"text/html; charset=utf-8","3":{"rss":81596416,"heapTotal":50974720,"heapUsed":39696864,"external":1797479},"4":[19,984539661],"timestamp":"2020-07-29T11:06:28.752Z"}
info: Response rejected. {"0":"https://twitter.com/oaks_hotels","1":200,"2":"text/html; charset=utf-8","3":{"rss":81596416,"heapTotal":50974720,"heapUsed":39756792,"external":1797479},"4":[19,985191311],"timestamp":"2020-07-29T11:06:28.753Z"}
info: Response rejected. {"0":"https://www.instagram.com/accounts/login/?next=/oaks_hotels/","1":200,"2":"text/html; charset=utf-8","3":{"rss":81596416,"heapTotal":50974720,"heapUsed":39966920,"external":1863015},"4":[19,997817264],"timestamp":"2020-07-29T11:06:28.765Z"}
info: Response rejected. {"0":"https://www.facebook.com/OaksHotels/app/190076381016644/","1":200,"2":"text/html; charset=\"utf-8\"","3":{"rss":81866752,"heapTotal":51142656,"heapUsed":40289824,"external":1997053},"4":[20,16950597],"timestamp":"2020-07-29T11:06:28.785Z"}
info: Response rejected. {"0":"https://www.tripadvisor.com/WidgetEmbed-cdspropertydetail?locationId=1176568&partnerId=CA4DE3C0F0BF4FC5935B969ABCF3AEC4&lang=en&display=true","1":200,"2":"text/html;charset=UTF-8","3":{"rss":81866752,"heapTotal":51142656,"heapUsed":41574784,"external":2202359},"4":[20,209536620],"timestamp":"2020-07-29T11:06:28.977Z"}
info: Response rejected. {"0":"https://www.google.com.au/maps/place/317+Castlereagh+St,+Haymarket+NSW+2000/@-33.879384,151.2059442,17z/data=!3m1!4b1!4m5!3m4!1s0x6b12ae22c609715d:0xe1121dd9a8d45d70!8m2!3d-33.879384!4d151.2081382","1":200,"2":"text/html; charset=UTF-8","3":{"rss":82395136,"heapTotal":51658752,"heapUsed":42707344,"external":2669493},"4":[20,267538493],"timestamp":"2020-07-29T11:06:29.035Z"}
info: Response rejected. {"0":"https://www.oakshotels.com/en","1":200,"2":"text/html; charset=utf-8","3":{"rss":83402752,"heapTotal":52854784,"heapUsed":44874312,"external":2402266},"4":[20,764620746],"timestamp":"2020-07-29T11:06:29.532Z"}
info: Response rejected. {"0":"https://www.capitoltheatre.com.au/","1":200,"2":"text/html; charset=utf-8","3":{"rss":83415040,"heapTotal":53116928,"heapUsed":42762280,"external":2219271},"4":[20,863932642],"timestamp":"2020-07-29T11:06:29.632Z"}
info: Response rejected. {"0":"https://www.nh-collection.com/en","1":200,"2":"text/html;charset=UTF-8","3":{"rss":83415040,"heapTotal":53260288,"heapUsed":44358744,"external":2495301},"4":[20,976848052],"timestamp":"2020-07-29T11:06:29.744Z"}
info: Response rejected. {"0":"https://www.avanihotels.com/en/","1":200,"2":"text/html; charset=utf-8","3":{"rss":84217856,"heapTotal":53735424,"heapUsed":45875192,"external":3396428},"4":[21,5914371],"timestamp":"2020-07-29T11:06:29.774Z"}
info: Response rejected. {"0":"https://www.elewanacollection.com/","1":200,"2":"text/html; charset=utf-8","3":{"rss":85024768,"heapTotal":54411264,"heapUsed":44388032,"external":2337853},"4":[21,104693825],"timestamp":"2020-07-29T11:06:29.872Z"}
info: Response rejected. {"0":"https://www.facebook.com/OaksHotels/","1":200,"2":"text/html; charset=\"utf-8\"","3":{"rss":87187456,"heapTotal":56385536,"heapUsed":48739728,"external":4546885},"4":[21,264579247],"timestamp":"2020-07-29T11:06:30.032Z"}
